efo_id,efo_term,max_phase_for_ind,molecule_chembl_id
EFO:0000404,diffuse scleroderma,2.0,CHEMBL1201823
EFO:0000685,rheumatoid arthritis,4.0,CHEMBL1201823
EFO:0000612,myocardial infarction,3.0,CHEMBL1201584
EFO:0001663,prostate carcinoma,4.0,CHEMBL271227
EFO:0000400,diabetes mellitus,4.0,CHEMBL404271
EFO:0000195,metabolic syndrome,3.0,CHEMBL404271
EFO:0003095,non-alcoholic fatty liver disease,2.0,CHEMBL404271
HP:0001945,Fever,4.0,CHEMBL112
EFO:0004616,"osteoarthritis, knee",3.0,CHEMBL112
EFO:0003843,pain,4.0,CHEMBL112
EFO:0003086,kidney disease,2.0,CHEMBL20
EFO:0000676,psoriasis,4.0,CHEMBL1131
EFO:0000341,chronic obstructive pulmonary disease,4.0,CHEMBL551466
EFO:0003898,ankylosing spondylitis,4.0,CHEMBL1201580
EFO:0000676,psoriasis,4.0,CHEMBL1201580
EFO:0000685,rheumatoid arthritis,4.0,CHEMBL1201580
EFO:0000729,ulcerative colitis,4.0,CHEMBL1201580
EFO:0003894,acne,4.0,CHEMBL1265
EFO:0003060,non-small cell lung carcinoma,4.0,CHEMBL2105712
EFO:0001365,age-related macular degeneration,3.0,CHEMBL1742982
EFO:0003839,retinopathy,2.0,CHEMBL1742982
EFO:0000341,chronic obstructive pulmonary disease,4.0,CHEMBL714
EFO:0000341,chronic obstructive pulmonary disease,4.0,CHEMBL1441059
EFO:0005751,eye allergy,4.0,CHEMBL1201747
EFO:0000676,psoriasis,3.0,CHEMBL1201571
Orphanet:309005,Disorder of lipid metabolism,3.0,CHEMBL2109540
HP:0003124,Hypercholesterolemia,3.0,CHEMBL2109540
EFO:0000537,hypertension,4.0,CHEMBL3545059
EFO:0004274,gout,4.0,CHEMBL1467
EFO:0000565,leukemia,4.0,CHEMBL1467
EFO:0000574,lymphoma,4.0,CHEMBL1467
EFO:0004262,panic disorder,4.0,CHEMBL661
EFO:0003030,abscess,3.0,CHEMBL1201593
EFO:0003827,pulmonary embolism,4.0,CHEMBL1201593
EFO:0000712,stroke,4.0,CHEMBL1201593
EFO:0001361,pulmonary arterial hypertension,4.0,CHEMBL1111
EFO:0000537,hypertension,4.0,CHEMBL1398126
EFO:0000537,hypertension,4.0,CHEMBL1200402
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL501
EFO:0002610,cocaine dependence,1.0,CHEMBL405
EFO:0000479,essential thrombocythemia,4.0,CHEMBL1200759
EFO:0000400,diabetes mellitus,2.0,CHEMBL1201570
EFO:0000305,breast carcinoma,4.0,CHEMBL1399
EFO:0001361,pulmonary arterial hypertension,2.0,CHEMBL1399
EFO:0000275,atrial fibrillation,4.0,CHEMBL231779
EFO:0000274,atopic eczema,2.0,CHEMBL514800
EFO:0001378,multiple myeloma,3.0,CHEMBL1471
EFO:0003060,non-small cell lung carcinoma,3.0,CHEMBL1471
EFO:0004888,post operative nausea and vomiting,4.0,CHEMBL1471
EFO:0000341,chronic obstructive pulmonary disease,4.0,CHEMBL1951071
EFO:0003888,attention deficit hyperactivity disorder,2.0,CHEMBL1112
EFO:0003758,autism,4.0,CHEMBL1112
EFO:0005246,hypersomnia,3.0,CHEMBL1201192
EFO:0004698,insomnia,2.0,CHEMBL1201192
EFO:0000565,leukemia,3.0,CHEMBL5483015
EFO:0000275,atrial fibrillation,3.0,CHEMBL25
EFO:0004607,duodenal ulcer,2.0,CHEMBL25
HP:0001945,Fever,4.0,CHEMBL25
EFO:0000537,hypertension,3.0,CHEMBL25
EFO:0004265,peripheral arterial disease,3.0,CHEMBL25
EFO:0003913,angina pectoris,4.0,CHEMBL24
EFO:0000537,hypertension,4.0,CHEMBL24
EFO:0000612,myocardial infarction,4.0,CHEMBL24
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL1702
Orphanet:79211,Combined hyperlipidemia,3.0,CHEMBL393220
Orphanet:309005,Disorder of lipid metabolism,3.0,CHEMBL393220
HP:0003124,Hypercholesterolemia,4.0,CHEMBL393220
EFO:0000660,polycystic ovary syndrome,2.0,CHEMBL393220
EFO:0000616,neoplasm,4.0,CHEMBL1289926
EFO:0000681,renal cell carcinoma,4.0,CHEMBL1289926
EFO:0000222,acute myeloid leukemia,4.0,CHEMBL1489
EFO:0000198,myelodysplastic syndrome,4.0,CHEMBL1489
EFO:0004991,Myasthenia gravis,3.0,CHEMBL1542
EFO:0000537,hypertension,4.0,CHEMBL2103795
EFO:0000274,atopic eczema,2.0,CHEMBL632
EFO:0001365,age-related macular degeneration,3.0,CHEMBL1201583
EFO:0003833,brain neoplasm,3.0,CHEMBL1201583
EFO:0000305,breast carcinoma,4.0,CHEMBL1201583
EFO:0000313,carcinoma,2.0,CHEMBL1201583
EFO:0000365,colorectal adenocarcinoma,4.0,CHEMBL1201583
EFO:0003770,diabetic retinopathy,3.0,CHEMBL1201583
EFO:0002916,esophageal carcinoma,2.0,CHEMBL1201583
EFO:0000519,glioblastoma multiforme,4.0,CHEMBL1201583
EFO:0003060,non-small cell lung carcinoma,4.0,CHEMBL1201583
EFO:0002618,pancreatic carcinoma,3.0,CHEMBL1201583
EFO:0000678,pterygium,3.0,CHEMBL1201583
EFO:0000681,renal cell carcinoma,4.0,CHEMBL1201583
EFO:0003060,non-small cell lung carcinoma,3.0,CHEMBL1023
EFO:0000673,prostate adenocarcinoma,3.0,CHEMBL409
EFO:0000220,acute lymphoblastic leukemia,4.0,CHEMBL1742992
EFO:0001361,pulmonary arterial hypertension,4.0,CHEMBL957
EFO:0000519,glioblastoma multiforme,2.0,CHEMBL288441
EFO:0000616,neoplasm,3.0,CHEMBL288441
EFO:1000632,cerebral palsy,3.0,CHEMBL1201574
EFO:0001073,obesity,2.0,CHEMBL1201574
EFO:0000183,Hodgkins lymphoma,4.0,CHEMBL1742994
EFO:0005854,allergic rhinitis,4.0,CHEMBL1370
EFO:0000341,chronic obstructive pulmonary disease,4.0,CHEMBL1370
EFO:0000729,ulcerative colitis,4.0,CHEMBL1370
EFO:0000373,congestive heart failure,4.0,CHEMBL1072
EFO:0003086,kidney disease,4.0,CHEMBL1072
EFO:0004255,nephrotic syndrome,4.0,CHEMBL1072
EFO:0005251,hypotension,2.0,CHEMBL1098
HP:0000023,Inguinal hernia,2.0,CHEMBL1200396
EFO:0003843,pain,4.0,CHEMBL1200396
EFO:0003843,pain,4.0,CHEMBL1098
EFO:0004240,heroin dependence,3.0,CHEMBL511142
EFO:0005611,opioid dependence,4.0,CHEMBL2368861
EFO:0003843,pain,4.0,CHEMBL511142
EFO:0003768,nicotine dependence,3.0,CHEMBL1698
EFO:0004319,smoking cessation,3.0,CHEMBL1698
EFO:0003085,dedifferentiated liposarcoma,2.0,CHEMBL1201748
EFO:0000616,neoplasm,4.0,CHEMBL1201748
EFO:0001663,prostate carcinoma,4.0,CHEMBL1201748
EFO:0000702,small cell lung carcinoma,2.0,CHEMBL1201748
EFO:0000676,psoriasis,4.0,CHEMBL1200666
EFO:0004193,basal cell carcinoma,2.0,CHEMBL846
EFO:0003060,non-small cell lung carcinoma,1.0,CHEMBL846
EFO:0000676,psoriasis,4.0,CHEMBL846
EFO:0002609,juvenile idiopathic arthritis,4.0,CHEMBL1201834
EFO:0000537,hypertension,4.0,CHEMBL1014
EFO:0000305,breast carcinoma,4.0,CHEMBL1773
EFO:0000365,colorectal adenocarcinoma,4.0,CHEMBL1773
EFO:0002916,esophageal carcinoma,3.0,CHEMBL1773
EFO:0000178,gastric carcinoma,4.0,CHEMBL1773
EFO:0000616,neoplasm,4.0,CHEMBL1773
EFO:0002618,pancreatic carcinoma,3.0,CHEMBL1773
EFO:0000707,squamous cell carcinoma,3.0,CHEMBL1773
EFO:0003897,stomach neoplasm,4.0,CHEMBL1773
EFO:0000373,congestive heart failure,4.0,CHEMBL1560
EFO:0003777,heart disease,2.0,CHEMBL1560
EFO:0000537,hypertension,4.0,CHEMBL1560
EFO:0000612,myocardial infarction,4.0,CHEMBL1560
EFO:0000474,epilepsy,4.0,CHEMBL108
EFO:0004263,partial epilepsy,4.0,CHEMBL108
EFO:0000220,acute lymphoblastic leukemia,1.0,CHEMBL451887
EFO:0001378,multiple myeloma,4.0,CHEMBL451887
EFO:0000272,astrocytoma,4.0,CHEMBL513
EFO:0003833,brain neoplasm,2.0,CHEMBL513
EFO:0003144,heart failure,4.0,CHEMBL723
EFO:0000537,hypertension,4.0,CHEMBL1201167
EFO:0000537,hypertension,4.0,CHEMBL723
EFO:0001361,pulmonary arterial hypertension,2.0,CHEMBL723
EFO:0003898,ankylosing spondylitis,4.0,CHEMBL118
EFO:0000305,breast carcinoma,3.0,CHEMBL118
EFO:0002609,juvenile idiopathic arthritis,4.0,CHEMBL118
EFO:0004616,"osteoarthritis, knee",3.0,CHEMBL118
EFO:0003843,pain,4.0,CHEMBL118
EFO:0000685,rheumatoid arthritis,4.0,CHEMBL118
EFO:0000685,rheumatoid arthritis,4.0,CHEMBL1201831
EFO:0005854,allergic rhinitis,4.0,CHEMBL1607273
EFO:0000365,colorectal adenocarcinoma,4.0,CHEMBL1201577
EFO:0000503,gastric adenocarcinoma,3.0,CHEMBL1201577
EFO:0000181,head and neck squamous cell carcinoma,4.0,CHEMBL1201577
EFO:0000616,neoplasm,4.0,CHEMBL1201577
EFO:0003060,non-small cell lung carcinoma,3.0,CHEMBL1201577
EFO:0000707,squamous cell carcinoma,4.0,CHEMBL1201577
EFO:0004284,upper aerodigestive tract neoplasm,4.0,CHEMBL1201577
EFO:0000555,irritable bowel syndrome,2.0,CHEMBL240597
EFO:0000537,hypertension,4.0,CHEMBL842
EFO:0004255,nephrotic syndrome,4.0,CHEMBL842
EFO:0005407,psychosis,4.0,CHEMBL71
EFO:0000537,hypertension,4.0,CHEMBL1055
EFO:0003144,heart failure,3.0,CHEMBL1042
EFO:0003047,hepatitis C virus infection,3.0,CHEMBL1042
EFO:0003944,tibia fracture,1.0,CHEMBL1042
EFO:0003876,intermittent vascular claudication,2.0,CHEMBL799
EFO:0003948,gastroesophageal reflux disease,4.0,CHEMBL30
EFO:0000537,hypertension,3.0,CHEMBL1237132
EFO:0005230,anxiety,4.0,CHEMBL70418
EFO:0000676,psoriasis,4.0,CHEMBL1159650
EFO:0000565,leukemia,3.0,CHEMBL1750
EFO:0000198,myelodysplastic syndrome,2.0,CHEMBL1750
EFO:0003888,attention deficit hyperactivity disorder,3.0,CHEMBL134
EFO:0000537,hypertension,4.0,CHEMBL134
EFO:0003843,pain,3.0,CHEMBL134
EFO:0005672,acute coronary syndrome,4.0,CHEMBL1083385
EFO:0000612,myocardial infarction,4.0,CHEMBL1083385
EFO:0004265,peripheral arterial disease,4.0,CHEMBL1083385
EFO:0003843,pain,4.0,CHEMBL6067642
EFO:0003843,pain,4.0,CHEMBL4297091
EFO:0003938,aphthous ulcer,2.0,CHEMBL107
EFO:0003899,contracture,2.0,CHEMBL2108709
HP:0200042,Skin ulcer,4.0,CHEMBL2108709
HP:0002902,Hyponatremia,3.0,CHEMBL1201108
EFO:0000685,rheumatoid arthritis,3.0,CHEMBL1201610
EFO:0005752,eye inflammation,4.0,CHEMBL1650
EFO:0000519,glioblastoma multiforme,1.0,CHEMBL601719
EFO:0003060,non-small cell lung carcinoma,4.0,CHEMBL601719
EFO:0000274,atopic eczema,3.0,CHEMBL160
EFO:0003047,hepatitis C virus infection,2.0,CHEMBL160
EFO:0000574,lymphoma,3.0,CHEMBL160
HP:0001915,Aplastic anemia,3.0,CHEMBL160
EFO:0000678,pterygium,2.0,CHEMBL160
EFO:0000220,acute lymphoblastic leukemia,4.0,CHEMBL803
EFO:0000222,acute myeloid leukemia,4.0,CHEMBL803
EFO:0000275,atrial fibrillation,4.0,CHEMBL1615369
EFO:0000676,psoriasis,1.0,CHEMBL1201605
EFO:0000712,stroke,3.0,CHEMBL1201460
EFO:0004272,anemia (phenotype),4.0,CHEMBL1201566
EFO:0000403,diffuse large B-cell lymphoma,3.0,CHEMBL1201566
EFO:0000198,myelodysplastic syndrome,3.0,CHEMBL1201566
EFO:0000095,chronic lymphocytic leukemia,2.0,CHEMBL1421
EFO:0000565,leukemia,3.0,CHEMBL1421
EFO:0001378,multiple myeloma,2.0,CHEMBL1421
EFO:0005952,non-Hodgkins lymphoma,1.0,CHEMBL1421
EFO:0003060,non-small cell lung carcinoma,2.0,CHEMBL1421
EFO:0002618,pancreatic carcinoma,2.0,CHEMBL1421
EFO:0000708,squamous cell lung carcinoma,2.0,CHEMBL1421
EFO:0000222,acute myeloid leukemia,3.0,CHEMBL1201129
EFO:0000198,myelodysplastic syndrome,4.0,CHEMBL1201129
EFO:0000266,aortic stenosis,2.0,CHEMBL1237023
EFO:0000305,breast carcinoma,4.0,CHEMBL1237023
EFO:0003882,osteoporosis,4.0,CHEMBL1237023
EFO:0003854,postmenopausal osteoporosis,4.0,CHEMBL1237023
EFO:0005323,post-operative sign or symptom,1.0,CHEMBL1200733
EFO:0005854,allergic rhinitis,4.0,CHEMBL1172
EFO:0005531,urticaria,4.0,CHEMBL1172
EFO:0005752,eye inflammation,4.0,CHEMBL384467
EFO:0001378,multiple myeloma,3.0,CHEMBL384467
EFO:0003843,pain,3.0,CHEMBL384467
EFO:0001663,prostate carcinoma,3.0,CHEMBL384467
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL3544971
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL3989844
EFO:0002496,actinic keratosis,3.0,CHEMBL1034
EFO:0005752,eye inflammation,4.0,CHEMBL139
