action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id
INHIBITOR,Carbonic anhydrase VII inhibitor,CHEMBL19,CHEMBL2326
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL1201117,CHEMBL261
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL1200814,CHEMBL261
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL17,CHEMBL261
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL20,CHEMBL261
INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL19,CHEMBL261
INHIBITOR,Cytochrome b inhibitor,CHEMBL1450,CHEMBL1777
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200771,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1722209,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1240,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200906,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1724,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1626570,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200880,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200479,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1768,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1578,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL2146146,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL517712,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200604,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200803,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200935,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL551466,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1200764,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL3545181,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1201765,CHEMBL245
ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200473,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1184,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL14,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL550,CHEMBL245
AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1200330,CHEMBL245
