target_chembl_id,target_name,uniprot_acc,ensembl_id
CHEMBL2074,Maltase-glucoamylase,O43451,ENSG00000282607
CHEMBL1971,ATP-binding cassette sub-family C member 9,O60706,ENSG00000069431
CHEMBL1827,"cGMP-specific 3',5'-cyclic phosphodiesterase",O76074,ENSG00000138735
CHEMBL1859,Voltage-dependent T-type calcium channel subunit alpha-1H,O95180,ENSG00000196557
CHEMBL1884,Nicotinic acetylcholine receptor alpha subunit,O96760,
CHEMBL202,Dihydrofolate reductase,P00374,ENSG00000228716
CHEMBL1809,Dihydrofolate reductase,P0ABQ4,
CHEMBL1862,Tyrosine-protein kinase ABL1,P00519,ENSG00000097007
CHEMBL203,Epidermal growth factor receptor,P00533,ENSG00000146648
CHEMBL1852,DNA-directed RNA polymerase subunit beta,P0A8V2,
CHEMBL204,Prothrombin,P00734,ENSG00000180210
CHEMBL1801,Plasminogen,P00747,ENSG00000122194
CHEMBL2065,Beta-lactamase TEM,P62593,
CHEMBL1910,Adenosine deaminase,P00813,ENSG00000196839
CHEMBL205,Carbonic anhydrase 2,P00918,ENSG00000104267
CHEMBL1950,Antithrombin-III,P01008,ENSG00000117601
CHEMBL2066,"Troponin C, slow skeletal and cardiac muscles",P63316,ENSG00000114854
CHEMBL1813,Penicillin-binding protein 1A,P02918,
CHEMBL206,Estrogen receptor,P03372,ENSG00000091831
CHEMBL2051,Neuraminidase,P03468,
CHEMBL2052,Matrix protein 2,P0DOF8,
CHEMBL2000,Plasma kallikrein,P03952,ENSG00000164344
CHEMBL402,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035,ENSG00000113161
CHEMBL2034,Glucocorticoid receptor,P04150,ENSG00000113580
CHEMBL1872,DNA polymerase catalytic subunit,P04293,
CHEMBL1952,Thymidylate synthase,P04818,ENSG00000176890
CHEMBL1807,Sodium/potassium-transporting ATPase subunit alpha-1,P05023,ENSG00000163399
CHEMBL1935,"Aldehyde dehydrogenase, mitochondrial",P05091,ENSG00000111275
CHEMBL207,Integrin beta-3,P05106,ENSG00000259207
CHEMBL2033,"Cholesterol side-chain cleavage enzyme, mitochondrial",P05108,ENSG00000140459
CHEMBL1848,Tubulin beta-4B chain,P68371,ENSG00000188229
CHEMBL1905,Integrin beta-1,P05556,ENSG00000150093
CHEMBL1981,Insulin receptor,P06213,ENSG00000171105
CHEMBL208,Progesterone receptor,P06401,ENSG00000082175
CHEMBL1826,DNA gyrase subunit B,P0AES6,
CHEMBL1968,Epoxide hydrolase 1,P07099,ENSG00000143819
CHEMBL1969,Tyrosine 3-monooxygenase,P07101,ENSG00000180176
CHEMBL1839,Thyroid peroxidase,P07202,ENSG00000115705
CHEMBL1970,Alcohol dehydrogenase 1A,P07327,ENSG00000187758
CHEMBL209,Serine protease 1,P07477,ENSG00000204983
CHEMBL210,Beta-2 adrenergic receptor,P07550,ENSG00000169252
CHEMBL1956,D-alanine--D-alanine ligase B,P07862,
