efo_id_norm,ot_therapeutic_area,ot_ta_raw
EFO_0000095,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000180,Other,infectious disease|reproductive system or breast disease
EFO_0000181,Oncology,cancer or benign tumor
EFO_0000196,Oncology,cancer or benign tumor|reproductive system or breast disease
EFO_0000220,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000339,Rare Disease,"musculoskeletal or connective tissue disease|genetic, familial or congenital disease|hematologic disease|immune system disease|cancer or benign tumor"
EFO_0000389,Oncology,integumentary system disease|cancer or benign tumor
EFO_0000519,Oncology,nervous system disease|cancer or benign tumor
EFO_0000574,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000588,Oncology,cancer or benign tumor
EFO_0000616,Oncology,cancer or benign tumor
EFO_0000702,CVRM,"endocrine system disease|genetic, familial or congenital disease|respiratory or thoracic disease|cancer or benign tumor"
EFO_0000708,Respiratory,respiratory or thoracic disease|cancer or benign tumor
EFO_0000756,Oncology,cancer or benign tumor
EFO_0000764,Other,infectious disease|reproductive system or breast disease
EFO_0000768,Respiratory,respiratory or thoracic disease|cancer or benign tumor
EFO_0000770,Respiratory,gastrointestinal disease|respiratory or thoracic disease|cancer or benign tumor
EFO_0001378,Immunology,"immune system disease|hematologic disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_0002429,Rare Disease,"genetic, familial or congenital disease|musculoskeletal or connective tissue disease|immune system disease|hematologic disease|cancer or benign tumor"
EFO_0002617,Oncology,cancer or benign tumor
EFO_0002618,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
EFO_0003060,Respiratory,respiratory or thoracic disease|cancer or benign tumor
EFO_0003833,Oncology,nervous system disease|cancer or benign tumor
EFO_0003869,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
EFO_0003884,Other,urinary system disease
EFO_0005221,CVRM,gastrointestinal disease|endocrine system disease|cancer or benign tumor
EFO_0009441,Rare Disease,"genetic, familial or congenital disease|nutritional or metabolic disease|hematologic disease|immune system disease|cancer or benign tumor"
EFO_0009606,Other,nervous system disease|disorder of visual system|phenotype
EFO_0022597,Other,biological_process
EFO_1000026,Oncology,cancer or benign tumor|nervous system disease
EFO_1000453,CVRM,"nervous system disease|endocrine system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_1000657,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_1001465,Oncology,nervous system disease|cancer or benign tumor
MONDO_0004355,Oncology,hematologic disease|cancer or benign tumor
MONDO_0004975,Other,psychiatric disorder|nervous system disease|phenotype
MONDO_0004992,Oncology,cancer or benign tumor
MONDO_0005575,Oncology,gastrointestinal disease|cancer or benign tumor
MONDO_0007254,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
MONDO_0008315,Oncology,reproductive system or breast disease|cancer or benign tumor
MONDO_0008903,Respiratory,respiratory or thoracic disease|cancer or benign tumor
MONDO_0011719,Rare Disease,"genetic, familial or congenital disease|gastrointestinal disease|cancer or benign tumor"
MONDO_0016586,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
MONDO_0021063,Oncology,gastrointestinal disease|cancer or benign tumor
MONDO_0100096,Other,infectious disease
MONDO_0100342,Oncology,nervous system disease|cancer or benign tumor
MONDO_0810000,Other,disorder of visual system
EFO_0000341,Respiratory,respiratory or thoracic disease
EFO_0000555,Other,gastrointestinal disease
EFO_0001421,CVRM,endocrine system disease|gastrointestinal disease
EFO_0006505,Respiratory,respiratory or thoracic disease
EFO_0010282,Other,gastrointestinal disease
HP_0001657,Other,phenotype
HP_0002014,Other,phenotype
HP_0005208,Other,phenotype
MONDO_0004822,Rare Disease,"genetic, familial or congenital disease|phenotype|respiratory or thoracic disease"
MONDO_0016575,Respiratory,"respiratory or thoracic disease|genetic, familial or congenital disease"
MONDO_0019171,Rare Disease,"genetic, familial or congenital disease"
MONDO_0100192,CVRM,endocrine system disease|gastrointestinal disease
EFO_0000198,Oncology,"hematologic disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_0000222,Immunology,hematologic disease|immune system disease|cancer or benign tumor|musculoskeletal or connective tissue disease
MONDO_0015667,Immunology,hematologic disease|immune system disease|cancer or benign tumor|musculoskeletal or connective tissue disease
EFO_0001422,CVRM,endocrine system disease|gastrointestinal disease|cancer or benign tumor
EFO_0004220,CVRM,infectious disease|gastrointestinal disease|endocrine system disease
EFO_1001345,CVRM,endocrine system disease|gastrointestinal disease|psychiatric disorder
HP_0001395,Other,phenotype
MONDO_0010602,Rare Disease,"hematologic disease|genetic, familial or congenital disease"
MONDO_0010604,Rare Disease,"hematologic disease|genetic, familial or congenital disease"
MONDO_0015719,Rare Disease,"hematologic disease|genetic, familial or congenital disease"
MONDO_0018660,Other,hematologic disease
MP_0001914,Other,phenotype
EFO_0000203,Other,hematologic disease
EFO_0000209,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000403,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000565,Oncology,hematologic disease|cancer or benign tumor
EFO_0004194,Rare Disease,"urinary system disease|genetic, familial or congenital disease|phenotype"
EFO_0004254,Other,urinary system disease|phenotype
EFO_0004289,Oncology,hematologic disease|cancer or benign tumor
EFO_0004991,Immunology,immune system disease|nervous system disease|phenotype
EFO_0005140,Immunology,immune system disease
EFO_0005558,Other,hematologic disease|phenotype
EFO_0005761,Immunology,immune system disease|urinary system disease|phenotype
EFO_0006475,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0007160,Immunology,immune system disease|hematologic disease|phenotype
EFO_0007355,Oncology,reproductive system or breast disease|cancer or benign tumor
EFO_0010673,Other,medical procedure
EFO_1001115,Immunology,hematologic disease|immune system disease|nervous system disease|endocrine system disease|cancer or benign tumor|phenotype
EFO_1001264,Immunology,hematologic disease|immune system disease|phenotype
EFO_1001469,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_1001830,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_1001875,Other,nutritional or metabolic disease
EFO_1001936,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
MONDO_0001705,Other,hematologic disease|phenotype
MONDO_0002462,Other,urinary system disease|phenotype
MONDO_0007915,Immunology,immune system disease|urinary system disease|musculoskeletal or connective tissue disease|phenotype
MONDO_0010979,Rare Disease,"genetic, familial or congenital disease"
MONDO_0018904,Other,urinary system disease|phenotype
MONDO_0018906,Immunology,"hematologic disease|immune system disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_0000199,Oncology,gastrointestinal disease|cancer or benign tumor
EFO_0000545,Other,reproductive system or breast disease|phenotype
EFO_0000673,Oncology,cancer or benign tumor|reproductive system or breast disease
EFO_0001071,Respiratory,respiratory or thoracic disease|cancer or benign tumor
EFO_0003144,CVRM,cardiovascular disease
EFO_0004208,Immunology,immune system disease|integumentary system disease
EFO_0008520,Immunology,nervous system disease|immune system disease
EFO_0008522,Immunology,nervous system disease|immune system disease
EFO_1000783,Other,nervous system disease|phenotype
EFO_1001459,CVRM,integumentary system disease|cardiovascular disease
HP_0000842,Other,phenotype
MONDO_0004126,CVRM,endocrine system disease
MONDO_0005184,Oncology,gastrointestinal disease|cancer or benign tumor|endocrine system disease
MONDO_0005301,Immunology,nervous system disease|immune system disease
MONDO_0019391,Immunology,"immune system disease|hematologic disease|genetic, familial or congenital disease|nutritional or metabolic disease|musculoskeletal or connective tissue disease|phenotype"
EFO_0001361,Respiratory,respiratory or thoracic disease|cardiovascular disease|phenotype
EFO_0003777,CVRM,cardiovascular disease
MONDO_0005149,CVRM,cardiovascular disease|phenotype
EFO_0001073,Other,nutritional or metabolic disease|phenotype
EFO_1000950,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
HP_0000938,Other,phenotype
MONDO_0002123,Other,nutritional or metabolic disease
MONDO_0005180,Rare Disease,"nervous system disease|genetic, familial or congenital disease"
MONDO_0010857,Rare Disease,"nervous system disease|genetic, familial or congenital disease|psychiatric disorder|phenotype"
EFO_0000274,Immunology,integumentary system disease|immune system disease
EFO_0000685,Immunology,immune system disease|musculoskeletal or connective tissue disease|phenotype
EFO_0000699,Immunology,gastrointestinal disease|immune system disease|disorder of visual system
EFO_0003778,Immunology,immune system disease|musculoskeletal or connective tissue disease|phenotype
EFO_1000710,Other,integumentary system disease
MONDO_0005147,CVRM,endocrine system disease|gastrointestinal disease|immune system disease|nutritional or metabolic disease|phenotype
MONDO_0019080,Other,integumentary system disease|phenotype
EFO_0001645,CVRM,cardiovascular disease
EFO_0004277,CVRM,nervous system disease|cardiovascular disease
EFO_0006834,Other,phenotype
EFO_0000474,Other,nervous system disease
EFO_0003913,Other,phenotype
EFO_0600064,Other,infectious disease
HP_0002140,CVRM,nervous system disease|cardiovascular disease|phenotype
HP_0012532,Other,phenotype
MONDO_0000831,CVRM,cardiovascular disease
MONDO_0011382,Rare Disease,"genetic, familial or congenital disease|hematologic disease"
MONDO_0043510,Other,"nervous system disease|injury, poisoning or other complication"
EFO_0002950,Other,biological_process
EFO_0003086,Other,urinary system disease
EFO_0003100,Other,nervous system disease|phenotype
EFO_0003768,Other,psychiatric disorder|nervous system disease
EFO_0003890,Other,psychiatric disorder|nervous system disease
EFO_0003917,Other,phenotype
EFO_0005323,Other,phenotype
EFO_0007191,Other,psychiatric disorder|nervous system disease
EFO_1000971,Other,pregnancy or perinatal disease
EFO_1001250,Other,musculoskeletal or connective tissue disease
EFO_1001800,Other,musculoskeletal or connective tissue disease
EFO_1001884,Rare Disease,"nervous system disease|genetic, familial or congenital disease|psychiatric disorder"
EFO_1001898,Other,phenotype
EFO_1001998,Other,nervous system disease
HP_0000083,Other,phenotype
HP_0000989,Other,phenotype
HP_0002018,Other,phenotype
HP_0003419,Other,phenotype
MONDO_0004892,Other,disorder of visual system
MONDO_0005277,CVRM,nervous system disease|cardiovascular disease
MONDO_0017413,Rare Disease,"genetic, familial or congenital disease|nutritional or metabolic disease"
Orphanet_294049,Rare Disease,"genetic, familial or congenital disease|musculoskeletal or connective tissue disease"
EFO_0000384,Immunology,"immune system disease|gastrointestinal disease|genetic, familial or congenital disease"
