drug_id,first_approval
CHEMBL467,1967
CHEMBL596,1968
CHEMBL695,1946
CHEMBL298734,2020
CHEMBL393220,1996
CHEMBL517712,1960
CHEMBL1696,1964
CHEMBL1738,1995
CHEMBL1200934,1989
CHEMBL1208155,2018
CHEMBL1237119,2002
CHEMBL1256958,1965
CHEMBL2107797,1968
CHEMBL2107841,2014
CHEMBL2111286,1996
CHEMBL3544986,2015
CHEMBL3545181,2004
CHEMBL3707248,2017
CHEMBL3990014,2023
CHEMBL4594260,2020
CHEMBL5315080,2020
CHEMBL6068343,2011
CHEMBL54,1967
CHEMBL1358,2002
CHEMBL1473,1990
CHEMBL608533,2017
CHEMBL1200392,1948
CHEMBL1201670,1991
CHEMBL1743078,2022
CHEMBL1963681,2011
CHEMBL2103795,2011
CHEMBL2103837,2011
CHEMBL2107815,2013
CHEMBL2108593,2007
CHEMBL3402762,2020
CHEMBL3989401,1991
CHEMBL4297911,2022
CHEMBL4594262,2019
CHEMBL5315049,2021
CHEMBL5315055,2013
CHEMBL6067998,2009
CHEMBL548,1977
CHEMBL299400,1978
CHEMBL94454,1998
CHEMBL1164729,2008
CHEMBL1200480,1988
CHEMBL1200776,2004
CHEMBL1201572,1998
CHEMBL1201745,2008
CHEMBL1201754,2007
CHEMBL1567328,2003
CHEMBL1743034,2016
CHEMBL1743087,2014
CHEMBL2107884,2016
CHEMBL3545185,2019
CHEMBL3707348,2017
CHEMBL3989937,2020
CHEMBL4297734,2019
CHEMBL4303214,2023
CHEMBL5315054,2017
CHEMBL41355,2011
CHEMBL1054,1960
CHEMBL344159,2009
CHEMBL1479,1976
CHEMBL1200332,1967
CHEMBL1200515,1957
CHEMBL1200622,1998
CHEMBL1200908,1990
CHEMBL1201192,2007
CHEMBL1201630,1979
CHEMBL1743007,2015
CHEMBL1789844,2011
CHEMBL2105720,2015
CHEMBL2146883,2015
CHEMBL3187985,2001
CHEMBL472,1984
CHEMBL81,1997
CHEMBL612,1955
CHEMBL748,1964
CHEMBL295698,2021
CHEMBL117287,2009
CHEMBL1339,2003
CHEMBL256997,2014
CHEMBL1750,2004
CHEMBL1200798,1981
CHEMBL1200952,1943
CHEMBL1201610,1950
CHEMBL1201631,1982
CHEMBL1201581,1998
CHEMBL2103873,2010
CHEMBL2108081,2016
CHEMBL2108667,2002
CHEMBL405,1955
CHEMBL452,1975
CHEMBL635,1955
CHEMBL738,1982
CHEMBL744,1995
CHEMBL781,1973
CHEMBL294199,2009
CHEMBL995,1995
CHEMBL89598,2009
CHEMBL334966,2015
CHEMBL240597,1983
CHEMBL1763,1959
CHEMBL1097279,2015
CHEMBL1472989,1992
CHEMBL1568057,1973
CHEMBL1795071,2011
CHEMBL1808388,2023
CHEMBL2068724,2004
CHEMBL2104391,2004
CHEMBL2108966,2007
CHEMBL3545184,2016
CHEMBL3989694,2008
CHEMBL4204794,2020
CHEMBL4297528,2020
CHEMBL4594278,2023
CHEMBL4594328,2023
CHEMBL5095474,2023
CHEMBL305660,1990
CHEMBL70418,2005
CHEMBL1094,1993
CHEMBL1131,1996
CHEMBL1174,1998
CHEMBL1409,1994
CHEMBL521686,2014
CHEMBL1654,1998
CHEMBL1200328,2004
CHEMBL1200545,1977
CHEMBL1200806,1980
CHEMBL1200837,2000
CHEMBL1201020,1977
CHEMBL2108348,2017
CHEMBL2110732,2018
CHEMBL2135460,2022
CHEMBL2311030,1953
CHEMBL2368861,1981
CHEMBL3545057,1982
CHEMBL3989516,2018
CHEMBL4297229,2019
CHEMBL4297588,2021
CHEMBL4594265,2019
CHEMBL5315076,2016
CHEMBL1113,1980
CHEMBL1399,1995
CHEMBL373742,2014
CHEMBL1444,1997
CHEMBL1521,1999
CHEMBL1200648,1994
CHEMBL1200759,1997
CHEMBL1201092,1998
CHEMBL1201580,2002
CHEMBL1201749,2008
CHEMBL1516474,2002
CHEMBL2103822,2014
CHEMBL2103867,2017
CHEMBL2109093,2002
CHEMBL2159122,2015
CHEMBL3348963,2017
CHEMBL3544988,2023
CHEMBL3701238,2022
CHEMBL3989798,2001
CHEMBL3989932,2017
CHEMBL4594251,2017
CHEMBL46,1991
CHEMBL488,1980
CHEMBL107,1961
CHEMBL957,2001
CHEMBL1480,1991
CHEMBL1561,1996
CHEMBL1751,1975
CHEMBL1082407,2012
CHEMBL1201173,1969
CHEMBL1201863,2009
CHEMBL1743082,2013
CHEMBL2103830,2018
CHEMBL2105758,2018
CHEMBL2108027,2014
CHEMBL2356097,1992
CHEMBL3181841,2015
