ensembl_id,efo_id_norm,target_name,disease_name,phase,label
ENSG00000000938,EFO_0000095,FGR,chronic lymphocytic leukemia,2,0
ENSG00000000938,EFO_0000180,FGR,HIV-1 infection,2,0
ENSG00000000938,EFO_0000181,FGR,head and neck squamous cell carcinoma,2,0
ENSG00000000938,EFO_0000196,FGR,metastatic prostate cancer,2,0
ENSG00000000938,EFO_0000220,FGR,acute lymphoblastic leukemia,4,1
ENSG00000000938,EFO_0000305,FGR,breast carcinoma,1,0
ENSG00000000938,EFO_0000339,FGR,chronic myelogenous leukemia,4,1
ENSG00000000938,EFO_0000389,FGR,cutaneous melanoma,2,0
ENSG00000000938,EFO_0000403,FGR,diffuse large B-cell lymphoma,2,0
ENSG00000000938,EFO_0000519,FGR,glioblastoma multiforme,2,0
ENSG00000000938,EFO_0000574,FGR,lymphoma,1,0
ENSG00000000938,EFO_0000588,FGR,mesothelioma,2,0
ENSG00000000938,EFO_0000616,FGR,neoplasm,4,1
ENSG00000000938,EFO_0000702,FGR,small cell lung carcinoma,2,0
ENSG00000000938,EFO_0000708,FGR,squamous cell lung carcinoma,2,0
ENSG00000000938,EFO_0000756,FGR,melanoma,2,0
ENSG00000000938,EFO_0000764,FGR,HIV infection,2,0
ENSG00000000938,EFO_0000768,FGR,idiopathic pulmonary fibrosis,1,0
ENSG00000000938,EFO_0000770,FGR,malignant pleural mesothelioma,1,0
ENSG00000000938,EFO_0001378,FGR,multiple myeloma,2,0
ENSG00000000938,EFO_0002429,FGR,polycythemia vera,2,0
ENSG00000000938,EFO_0002617,FGR,metastatic melanoma,2,0
ENSG00000000938,EFO_0002618,FGR,pancreatic carcinoma,2,0
ENSG00000000938,EFO_0002918,FGR,rhabdomyosarcoma,1,0
ENSG00000000938,EFO_0003060,FGR,non-small cell lung carcinoma,2,0
ENSG00000000938,EFO_0003833,FGR,brain neoplasm,1,0
ENSG00000000938,EFO_0003869,FGR,breast neoplasm,2,0
ENSG00000000938,EFO_0003884,FGR,chronic kidney disease,2,0
ENSG00000000938,EFO_0004289,FGR,lymphoid leukemia,4,1
ENSG00000000938,EFO_0005221,FGR,cholangiocarcinoma,2,0
ENSG00000000938,EFO_0005952,FGR,non-Hodgkins lymphoma,1,0
ENSG00000000938,EFO_0009441,FGR,Waldenstrom macroglobulinemia,1,0
ENSG00000000938,EFO_0009606,FGR,macular degeneration,2,0
ENSG00000000938,EFO_0022597,FGR,aging,2,0
ENSG00000000938,EFO_1000026,FGR,diffuse intrinsic pontine glioma,1,0
ENSG00000000938,EFO_1000131,FGR,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",4,1
ENSG00000000938,EFO_1000453,FGR,Paraganglioma,2,0
ENSG00000000938,EFO_1000657,FGR,rectum cancer,2,0
ENSG00000000938,EFO_1001465,FGR,gliosarcoma,1,0
